BirdtreeFormat,Family,O.C,Final.polygyny,Final.EPP,Syllable.rep.final,Syll.song.final,Song.rep.final,Duration.final,Interval.final,Song.rate,Continuity,EPPSourcedata
Phylloscopus_trochilus,Phylloscopidae,NA,0,1,NA,NA,NA,NA,NA,NA,0.312559018,NA
Emberiza_schoeniclus,Emberizidae,NA,0,1,NA,NA,NA,NA,NA,NA,0.33,NA
Hylocichla_mustelina,Turdidae,NA,0,1,NA,NA,NA,NA,NA,NA,0.340611354,NA
Parus_caeruleus,Paridae,NA,1,1,NA,NA,NA,NA,NA,NA,0.342857143,NA
Sylvia_nisoria,Sylviidae,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.352941177,NA
Seiurus_aurocapilla,Parulidae,NA,0,NA,NA,NA,NA,NA,NA,NA,0.362241494,NA
Regulus_regulus,Regulidae,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.37,NA
Mirafra_africana,Alaudidae,NA,0,NA,NA,NA,NA,NA,NA,NA,0.375,NA
Cisticola_juncidis,Cisticolidae,NA,1,NA,NA,NA,NA,NA,NA,NA,0.384615385,NA
Passerina_leclancherii,Cardinalidae,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.393939394,NA
Erithacus_rubecula,Muscicapidae,NA,0,1,NA,NA,NA,NA,NA,NA,0.4,NA
Sylvia_hortensis,Sylviidae,NA,0,NA,NA,NA,NA,NA,NA,NA,0.4,NA
Synallaxis_zimmeri,Furnariidae,NA,0,NA,NA,NA,NA,NA,NA,NA,0.4,NA
Turdus_philomelos,Turdidae,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.4,NA
Phylloscopus_sibilatrix,Phylloscopidae,NA,1,0,NA,NA,NA,NA,NA,NA,0.41025641,NA
Cistothorus_platensis,Troglodytidae,NA,1,NA,NA,NA,NA,NA,NA,NA,0.416666667,NA
Toxostoma_rufum,Mimidae,NA,0,NA,NA,NA,NA,NA,NA,NA,0.439873418,NA
Vermivora_peregrina,Parulidae,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.445904173,NA
Sylvia_communis,Sylviidae,NA,1,NA,NA,NA,NA,NA,NA,NA,0.452054795,NA
Luscinia_megarhynchos,Muscicapidae,NA,0,NA,NA,NA,NA,NA,NA,NA,0.452173913,NA
Turdus_migratorius,Turdidae,NA,0,1,NA,NA,NA,NA,NA,NA,0.458432304,NA
Passerina_versicolor,Cardinalidae,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.45945946,NA
Sylvia_boehmi,Sylviidae,NA,0,NA,NA,NA,NA,NA,NA,NA,0.461538462,NA
Turdus_viscivorus,Turdidae,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.476190476,NA
Turdus_merula,Turdidae,NA,0,1,NA,NA,NA,NA,NA,NA,0.484848485,NA
Amphispiza_bilineata,Passerellidae,NA,0,NA,NA,NA,NA,NA,NA,NA,0.51,NA
Sylvia_atricapilla,Sylviidae,NA,1,NA,NA,NA,NA,NA,NA,NA,0.517241379,NA
Troglodytes_troglodytes,Troglodytidae,NA,1,NA,NA,NA,NA,NA,NA,NA,0.529411765,NA
Emberiza_cirlus,Emberizidae,NA,0,NA,NA,NA,NA,NA,NA,NA,0.573333333,NA
Baeolophus_bicolor,Paridae,NA,0,1,NA,NA,NA,NA,NA,NA,0.583333333,NA
Dumetella_carolinensis,Mimidae,NA,0,NA,NA,NA,NA,NA,NA,NA,0.586956522,NA
Phylloscopus_collybita,Phylloscopidae,NA,1,NA,NA,NA,NA,NA,NA,NA,0.597014925,NA
Hirundo_rustica,Hirundinidae,NA,0,1,NA,NA,NA,NA,NA,NA,0.623287671,NA
Sylvia_borin,Sylviidae,NA,0,NA,NA,NA,NA,NA,NA,NA,0.70754717,NA
Baeolophus_inornatus,Paridae,NA,0,NA,NA,NA,NA,NA,NA,NA,0.714285714,NA
Mimus_polyglottos,Mimidae,NA,0,0,NA,NA,NA,NA,NA,NA,0.735576923,NA
Acrocephalus_dumetorum,Acrocephalidae,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.75,NA
Acrocephalus_arundinaceus,Acrocephalidae,NA,1,1,NA,NA,NA,NA,NA,NA,0.807692308,NA
Sturnus_vulgaris,Sturnidae,NA,1,0,NA,NA,NA,NA,NA,NA,0.832045684,NA
Acrocephalus_schoenobaenus,Acrocephalidae,NA,1,0,NA,NA,NA,NA,NA,NA,0.937049495,NA
Acrocephalus_palustris,Acrocephalidae,NA,1,0,NA,NA,NA,NA,NA,NA,0.952380952,NA
Locustella_naevia,Locustellidae,NA,0,NA,NA,NA,NA,NA,NA,NA,0.971428571,NA
Acrocephalus_scirpaceus,Acrocephalidae,NA,0,NA,NA,NA,NA,NA,NA,NA,0.999039385,NA
Acrocephalus_scirpaceus,Acrocephalidae,NA,0,NA,NA,NA,NA,NA,NA,0.23054755,NA,NA
Locustella_naevia,Locustellidae,NA,0,NA,NA,NA,NA,NA,NA,1.142857143,NA,NA
Xanthocephalus_xanthocephalus,Icteridae,NA,1,NA,NA,NA,NA,NA,NA,1.230769231,NA,NA
Sturnus_vulgaris,Sturnidae,NA,1,0,NA,NA,NA,NA,NA,2.015451797,NA,NA
Ficedula_albicollis,Muscicapidae,NA,1,1,NA,NA,NA,NA,NA,2.748511223,NA,NA
Acrocephalus_schoenobaenus,Acrocephalidae,NA,1,0,NA,NA,NA,NA,NA,2.883229217,NA,NA
Progne_subis,Hirundinidae,NA,0,1,NA,NA,NA,NA,NA,3,NA,NA
Cettia_cetti,Scotocercidae,NA,0,NA,NA,NA,NA,NA,NA,3.076923077,NA,NA
Sylvia_nisoria,Sylviidae,NA,NA,NA,NA,NA,NA,NA,NA,3.529411765,NA,NA
Agelaius_phoeniceus,Icteridae,NA,1,1,NA,NA,NA,NA,NA,3.93442623,NA,NA
Pheucticus_ludovicianus,Cardinalidae,NA,0,NA,NA,NA,NA,NA,NA,4.225352113,NA,NA
Zonotrichia_leucophrys,Passerellidae,NA,0,1,NA,NA,NA,NA,NA,4.651162791,NA,NA
Dendroica_coronata,Parulidae,NA,NA,NA,NA,NA,NA,NA,NA,4.761904762,NA,NA
Pipilo_fuscus,Passerellidae,NA,NA,NA,NA,NA,NA,NA,NA,4.798080768,NA,NA
Miliaria_calandra,Emberizidae,NA,1,0,NA,NA,NA,NA,NA,4.803843074,NA,NA
Piranga_olivacea,Cardinalidae,NA,NA,1,NA,NA,NA,NA,NA,4.897959184,NA,NA
Zonotrichia_albicollis,Passerellidae,NA,0,1,NA,NA,NA,NA,NA,4.985459078,NA,NA
Icterus_galbula,Icteridae,NA,0,NA,NA,NA,NA,NA,NA,5.004170142,NA,NA
Troglodytes_troglodytes,Troglodytidae,NA,1,NA,NA,NA,NA,NA,NA,5.042016807,NA,NA
Passerina_cyanea,Cardinalidae,NA,0,1,NA,NA,NA,NA,NA,5.479452055,NA,NA
Passerina_amoena,Cardinalidae,NA,0,NA,NA,NA,NA,NA,NA,5.540166205,NA,NA
Sylvia_curruca,Sylviidae,NA,0,NA,NA,NA,NA,NA,NA,5.581395349,NA,NA
Campylorhynchus_brunneicapillus,Troglodytidae,NA,0,NA,NA,NA,NA,NA,NA,5.607476636,NA,NA
Phylloscopus_trochilus,Phylloscopidae,NA,0,1,NA,NA,NA,NA,NA,5.66572238,NA,NA
Aimophila_aestivalis,Passerellidae,NA,0,NA,NA,NA,NA,NA,NA,5.687203791,NA,NA
Thryothorus_sinaloa,Troglodytidae,NA,NA,NA,NA,NA,NA,NA,NA,5.687203791,NA,NA
Emberiza_hortulana,Emberizidae,NA,0,NA,NA,NA,NA,NA,NA,5.714285714,NA,NA
Parus_cristatus,Paridae,NA,0,1,NA,NA,NA,NA,NA,5.825242718,NA,NA
Melospiza_melodia,Passerellidae,NA,0,0,NA,NA,NA,NA,NA,5.856515373,NA,NA
Fringilla_coelebs,Fringillidae,NA,0,1,NA,NA,NA,NA,NA,5.888125613,NA,NA
Regulus_regulus,Regulidae,NA,NA,NA,NA,NA,NA,NA,NA,6,NA,NA
Sylvia_hortensis,Sylviidae,NA,0,NA,NA,NA,NA,NA,NA,6,NA,NA
Dendroica_virens,Parulidae,NA,0,NA,NA,NA,NA,NA,NA,6.106870229,NA,NA
Sturnella_neglecta,Icteridae,NA,1,NA,NA,NA,NA,NA,NA,6.153846154,NA,NA
Seiurus_noveboracensis,Parulidae,NA,0,NA,NA,NA,NA,NA,NA,6.315789474,NA,NA
Spizella_passerina,Passerellidae,NA,0,NA,NA,NA,NA,NA,NA,6.382978723,NA,NA
Turdus_iliacus,Turdidae,NA,NA,NA,NA,NA,NA,NA,NA,6.389776358,NA,NA
Passerina_ciris,Cardinalidae,NA,1,NA,NA,NA,NA,NA,NA,6.434316354,NA,NA
Dendroica_magnolia,Parulidae,NA,NA,NA,NA,NA,NA,NA,NA,6.472491909,NA,NA
Sylvia_communis,Sylviidae,NA,1,NA,NA,NA,NA,NA,NA,6.575342466,NA,NA
Emberiza_citrinella,Emberizidae,NA,0,1,NA,NA,NA,NA,NA,6.586169045,NA,NA
Acrocephalus_arundinaceus,Acrocephalidae,NA,1,1,NA,NA,NA,NA,NA,6.593406593,NA,NA
Empidonax_difficilis,Tyrannidae,NA,NA,NA,NA,NA,NA,NA,NA,6.666666667,NA,NA
Cardinalis_cardinalis,Cardinalidae,NA,0,1,NA,NA,NA,NA,NA,6.896551724,NA,NA
Phylloscopus_bonelli,Phylloscopidae,NA,0,NA,NA,NA,NA,NA,NA,6.896551724,NA,NA
Sylvia_atricapilla,Sylviidae,NA,1,NA,NA,NA,NA,NA,NA,6.896551724,NA,NA
